Resort Name,State,Double Chairs,Quad Chairs,Surface Lifts,Base,Summit,Vertical Drop,Longest Run,Snow Making,Beginner,Intermediate,Advanced,Expert
Holimont Ski Area,"New York, USA",3,1,1,1560ft,2260ft,700ft,1.5mi,135ac,0.26,0.28,0.45,0
Homewood Mountain Resort,"California, USA",0,0,4,6230ft,7880ft,1650ft,2mi,126ac,0.15,0.5,0.25,0.1
Hoodoo Ski Area,"Oregon, USA",1,3,0,4668ft,5703ft,1035ft,0.4mi,0ac,0.3,0.3,0.4,0
Howelsen Hill,"Colorado, USA",1,0,3,6696ft,7136ft,440ft,6mi,25ac,0.2,0.3,0.5,0
Hunter Mountain,"New York, USA",2,2,3,1600ft,3200ft,1600ft,2mi,240ac,0.28,0.24,0.33,0.16
Hunt Hollow Ski Club,"New York, USA",1,0,2,1000ft,2030ft,825ft,1mi,400ac,0.32,0.21,0.37,0.11
Hyland Ski & Snowboard Area,"Minnesota, USA",0,2,5,900ft,1075ft,175ft,1mi,35ac,0.4,0.4,0.2,0
Jack Frost,"Pennsylvania, USA",5,1,1,1400ft,2000ft,600ft,1mi,100ac,1,0,0,0
Jackson Hole,"Wyoming, USA",1,4,0,6311ft,10450ft,4139ft,4.5mi,160ac,0.09,0.34,0.41,0.17
Jay Peak,"Vermont, USA",1,3,2,1815ft,3968ft,2153ft,3mi,300ac,0.19,0.41,0.41,0
Jiminy Peak,"Massachusetts, USA",1,2,2,1230ft,2380ft,1150ft,2mi,163ac,0.53,0.27,0.13,0.07
June Mountain,"California, USA",4,0,1,7510ft,10174ft,2664ft,2mi,N/A,0.35,0.45,0.2,0
Kelly Canyon Ski Area,"Idaho, USA",4,0,2,5600ft,6600ft,1000ft,1.3mi,0ac,0.35,0.45,0.2,0
Keystone,"Colorado, USA",2,1,8,9280ft,12408ft,3128ft,3.5mi,662ac,0.12,0.39,0.49,0
Killington Resort,"Vermont, USA",1,4,6,1165ft,4241ft,3050ft,6mi,500ac,0.28,0.33,0.24,0.15
King Pine,"New Hampshire, USA",0,0,3,500ft,850ft,350ft,0.3mi,45ac,0.44,0.31,0.1,0.15
Kirkwood,"California, USA",1,1,5,7800ft,9800ft,2000ft,2.5mi,200ac,0.12,0.3,0.38,0.2
Kissing Bridge,"New York, USA",4,2,3,1150ft,1700ft,550ft,0.5mi,550ac,0.2,0.5,0.3,0
